price,form,interface,speed,gig,sgig,brand,supplier,comment
569.00,"2.5""",SATA,SATA,1920,0.296,Micron,CPL,"Micron MTFDDAK1T9TGA-1BC1ZABYYR 5400 PRO 1.92TB 2.5"" SATA Enterpise SSD"
385.10,"2.5""",SATA,SATA,960,0.401,Micron,CPL,"Micron MTFDDAK960TGA-1BC1ZABYYR 5400 PRO 960GB 2.5"" SATA Enterpise SSD"
385.10,M.2,NVME,?,400,0.963,Synology,CPL,"Synology SNV3510-400G SNV3510 NVMe M.2 22110 Enterprise SSD - 400GB"
57.00,M.2,NVME,?,500,0.114,Crucial,CPL,"Crucial CT500P3SSD8 P3 500GB PCIe M.2 2280 SSD"
169.00,M.2,NVME,?,2000,0.085,Crucial,CPL,"Crucial CT2000P3SSD8 P3 2TB PCIe M.2 2280 SSD"
612.80,M.2,NVME,?,800,0.766,Synology,CPL,"Synology SNV3510-800G SNV3510 M.2 22110 800G Enterprise Class NVMe SSD"
449.00,M.2,NVME,PCIe4,4096,0.110,Kingston,CPL,"Kingston SKC3000D/4096G 4096G KC3000 PCIe 4.0 NVMe M.2 SSD"
75.00,M.2,NVME,PCIe4,512,0.146,Kingston,CPL,"Kingston SKC3000S/512G 512G KC3000 PCIe 4.0 NVMe M.2 SSD"
229.00,M.2,NVME,PCIe4,2048,0.112,Kingston,CPL,"Kingston SKC3000D/2048G 2048G KC3000 PCIe 4.0 NVMe M.2 SSD"
145.00,M.2,NVME,PCIe4,1024,0.142,Kingston,CPL,"Kingston SKC3000S/1024G 1024G KC3000 PCIe 4.0 NVMe M.2 SSD"
95.00,M.2,NVME,?,500,0.190,Samsung,CPL,"Samsung MZ-V8V500BW SSD 980 500GB V-NAND M.2 (2280) NVMe SSD"
529.00,"2.5""",SATA,SATA,4000,0.132,Samsung,CPL,"Samsung MZ-77E4T0BW 870 EVO 4TB 2.5"" INTERNAL SATA SSD"
189.00,"2.5""",SATA,SATA,2000,0.095,WD,CPL,"WD WDS200T2G0A Green 2TB 2.5' SATA SSD"
266.30,"2.5""",SATA,SATA,2000,0.133,Samsung,CPL,"Samsung MZ-77Q2T0BW 870 QVO 2TB 2.5"" 7mm SATA SSD"
246.50,M.2,SATA,SATA,1000,0.246,WD,CPL,"WD WDS100T1R0B Red 1TB M.2 2280 SA500 NAS SATA SSD"
145.00,M.2,?,?,1000,0.145,Samsung,CPL,"Samsung 970 EVO Plus Series 1TB M.2 SSD MZ-V7S1T0BW 5Y"
89.00,M.2,NVME,PCIe4,1000,0.089,Lexar,CPL,"Lexar LNQ780X001T-RNNNG NQ780 1TB M.2 NVMe PCIe 4.0 SSD"
39.00,M.2,NVME,PCIe3,256,0.152,Lexar,CPL,"Lexar LNM620X256G-RNNNG NM620 256GB M.2 NVMe PCIe 3.0 SSD"
169.00,M.2,NVME,PCIe5,1000,0.169,?,CPL,"MSI SPATIUM M560 1TB M.2 2280 NVMe 2.0 PCIe 5.0 SSD"
114.00,M.2,NVME,PCIe4,1000,0.114,Adata,CPL,"ADATA SLEG-860-1000GCS Legend 860 1TB M.2 2280 NVMe PCIe 4.0 SSD"
179.00,M.2,NVME,?,1000,0.179,Crucial,CPL,"Crucial CT1000P510SSD8 P510 1TB M.2 NVMe PCIe5 SSD"
759.00,M.2,NVME,PCIe5,4000,0.190,Samsung,CPL,"Samsung MZ-VAP4T0BW 9100 PRO 4TB PCIe 5.0 M.2 NVMe 2280 SSD"
699.00,M.2,NVME,PCIe5,4000,0.175,Samsung,CPL,"Samsung MZ-VAP4T0CW 9100 PRO 4TB PCIe 5.0 M.2 NVMe 2280 SSD with Heatsink"
379.00,M.2,NVME,PCIe5,2000,0.190,Samsung,CPL,"Samsung MZ-VAP2T0BW 9100 PRO 2TB PCIe 5.0 M.2 NVMe 2280 SSD"
289.00,M.2,NVME,PCIe4,4000,0.072,?,CPL,"KLEVV K04TBM2SP0-C91 CRAS C910 4TB PCIe 4.0 NVMe M.2 2280 SSD"
467.30,M.2,NVME,PCIe4,4000,0.117,Lexar,CPL,"Lexar LNQ790X004T-RNNNG NQ790 4TB PCIe 4.0 NVMe M.2 2280 SSD"
89.00,M.2,NVME,PCIe4,1000,0.089,Crucial,CPL,"Crucial CT1000E100SSD8 E100 1TB PCIe 4.0 NVMe M.2 2280 SSD"
459.00,M.2,NVME,PCIe5,4000,0.115,Samsung,CPL,"Samsung MZ-V9S4T0BW 990 EVO Plus 4TB PCIe 5.0/4.0 NVMe M.2 2280 SSD"
