date,price,form,interface,speed,gig,sgig,brand,supplier,comment
2020-12-27,269.00,"2.5""",SATA,SATA,2000,0.135,Crucial,MSY,"Crucial 2.5"" BX500 2TB (CT2000BX500SSD1) 3D NAND SATA Solid State Drive SSD"
2020-12-20,279.00,"2.5""",SATA,SATA,2000,0.140,Crucial,MSY,"Crucial 2.5"" BX500 2TB (CT2000BX500SSD1) 3D NAND SATA Solid State Drive SSD"
2020-11-08,288.00,"2.5""",SATA,SATA,2000,0.144,Crucial,MSY,"Crucial 2.5"" BX500 2TB (CT2000BX500SSD1) 3D NAND SATA Solid State Drive SSD"
2020-10-18,289.00,"2.5""",SATA,SATA,2000,0.144,Crucial,MSY,"Crucial 2.5"" BX500 2TB (CT2000BX500SSD1) 3D NAND SATA Solid State Drive SSD"
2021-04-11,142.00,"2.5""",SATA,SATA3,1000,0.142,Crucial,MSY,"Crucial 2.5"" MX500 1TB (CT1000MX500SSD1) SATA3 Solid State Drive SSD"
2021-03-21,145.00,"2.5""",SATA,SATA3,1000,0.145,Crucial,MSY,"Crucial 2.5"" MX500 1TB (CT1000MX500SSD1) SATA3 Solid State Drive SSD"
2021-02-07,148.00,"2.5""",SATA,SATA3,1000,0.148,Crucial,MSY,"Crucial 2.5"" MX500 1TB (CT1000MX500SSD1) SATA3 Solid State Drive SSD"
2021-01-24,155.00,"2.5""",SATA,SATA3,1000,0.155,Crucial,MSY,"Crucial 2.5"" MX500 1TB (CT1000MX500SSD1) SATA3 Solid State Drive SSD"
2020-12-27,158.00,"2.5""",SATA,SATA3,1000,0.158,Crucial,MSY,"Crucial 2.5"" MX500 1TB (CT1000MX500SSD1) SATA3 Solid State Drive SSD"
2020-11-22,159.00,"2.5""",SATA,SATA3,1000,0.159,Crucial,MSY,"Crucial 2.5"" MX500 1TB (CT1000MX500SSD1) SATA3 Solid State Drive SSD"
