date,price,form,interface,speed,gig,sgig,brand,supplier,comment
2019-10-18,425.00,2.5",SATA,SATA3,960,0.443,Intel,CPL,Intel DC S4610 2.5" 960GB SSD SATA3 SSDSC2KG960G801 7mm 560R/510W 5YR WTY
2019-10-18,257.00,2.5",SATA,SATA3,480,0.535,Intel,CPL,Intel DC S4610 2.5" 480GB SSD SATA3 SSDSC2KG480G801 7mm 560R/510W 5YR WTY
2019-10-18,109.00,3.5",SATA?,RPM:  5700,2000,0.054,Toshiba,CPL,Toshiba HDWU120UZSVA 2TB V300 Video Stream INT 3.5" 5700RPM HDD
2019-10-18,139.00,3.5",SATA?,RPM:  5700,3000,0.046,Toshiba,CPL,Toshiba HDWU130UZSVA 3TB V300 Video Stream INT 3.5" 5700RPM HDD
2019-10-18,439.00,3.5",SATA?,RPM:  7200,8000,0.055,WD,CPL,WD WD8003FFBX 8TB RED PRO 3.5" NAS 7200 RPM HDD
2019-10-18,439.00,2.5",SAS,?,1200,0.366,Seagate,CPL,Seagate ST1200MM0139 1.20 TB 2.5" SAS Hard Drive
2019-10-18,559.00,3.5",SATA,RPM:  7200,8000,0.070,?,CPL,HGST HUH721008ALE600 0F27610 3.5" 8TB 256MB 7200RPM SATA 12GBs 512E ISE HE10
2019-10-18,399.00,2.5",SAS,RPM: 10000,900,0.443,?,CPL,HGST HUC101890CS4200 0B27975 C10K1800 2.5" 900GB SAS 12Gb/s 10K RPM 128M 512e ISE HDD
2019-10-18,999.00,?,SATA,RPM:  7200,14000,0.071,Toshiba,CPL,Toshiba MG07ACA14TE LFF 14TB 7200RPM Enterprise Capacity SATA HDD
2019-10-18,185.00,3.5",SAS,RPM:  7200,1000,0.185,Toshiba,CPL,Toshiba MG04SCA100 3.5" NEARLINE 1TB Enterprise Capacity SAS 7200RPM_ 6Gbps
2019-10-18,3349.00,?,SAS,?,1920,1.744,Seagate,CPL,Seagate ST1920FM0043 1200.2 SAS SSD SE 1920GB 4096MB Cache
2019-10-18,870.00,2.5",SATA,SATA3,1920,0.453,Intel,CPL,Intel DC S4610 2.5" 1.92TB SSD SATA3 SSDSC2KG019T801 7mm 560R/510W 5YR WTY
2019-10-18,179.00,2.5",SATA,SATA3,240,0.746,Intel,CPL,Intel DC S4610 2.5" 240GB SSD SATA3 SSDSC2KG240G801 7mm 560R/320W 5YR WTY
2019-10-18,1329.00,2.5",SATA,SATA3,3840,0.346,Intel,CPL,Intel 3.84TB SSD D3-S4510 Series SSDSC2KB038T801 2.5" SATA3
2019-10-18,925.00,3.5",SATA?,?,14000,0.066,WD,CPL,WD WUH721414ALE6L4(0F31284) Ultrastar 14TB 3.5 inch HDD
2019-10-18,305.00,3.5",SATA,SATA3,4000,0.076,Seagate,CPL,SEAGATE ST4000NM0115 ENT CAP V5 4TB 3.5IN SATA3 512E HDD
2019-10-18,309.00,3.5",SAS,?,3000,0.103,Seagate,CPL,SEAGATE ST3000NM0025 ENT CAP V5 3TB 3.5IN SAS 512N HDD
2019-10-18,929.00,3.5",SAS,?,14000,0.066,WD,CPL,WD 0F31052 14TB Ultrastar Enterprise 3.5" SAS 0F31052
2019-10-18,229.00,?,SATA,SATA,2000,0.115,Seagate,CPL,SEAGATE ST2000NM001A EXOS 7E8 HDD 512E/4KN 2TB SATA
